chr	start	strand	inchr	inrna	gene	seqReg	exReg	source	PubMed ID
4	250721	-	A	I		O		DIENCEPHALON	19478186
4	475468	-	A	I	ZNF721	I		THYMUS	15342557
4	476348	-	A	I	ZNF721	I		THYMUS	15342557
4	476410	-	A	I	ZNF721	I		THYMUS	15342557
4	476414	-	A	I	ZNF721	I		THYMUS	15342557
4	476424	-	A	I	ZNF721	I		THYMUS	15342557
4	476487	-	A	I	ZNF721	I		THYMUS	15342557
4	476489	-	A	I	ZNF721	I		THYMUS	15342557
4	476526	-	A	I	ZNF721	I		THYMUS	15342557
4	476548	-	A	I	ZNF721	I		THYMUS	15342557
4	476563	-	A	I	ZNF721	I		THYMUS	15342557
4	477083	-	A	I	ZNF721	I		THYMUS	15342557
4	477096	-	A	I	ZNF721	I		THYMUS	15342557
4	477123	-	A	I	ZNF721	I		THYMUS	15342557
4	477152	-	A	I	ZNF721	I		THYMUS	15342557
4	477171	-	A	I	ZNF721	I		THYMUS	15342557
4	477180	-	A	I	ZNF721	I		THYMUS	15342557
4	477213	-	A	I	ZNF721	I		THYMUS	15342557
4	477219	-	A	I	ZNF721	I		THYMUS	15342557
4	477229	-	A	I	ZNF721	I		THYMUS	15342557
4	477232	-	A	I	ZNF721	I		THYMUS	15342557
4	477233	-	A	I	ZNF721	I		THYMUS	15342557
4	477294	-	A	I	ZNF721	I		THYMUS	15342557
4	477684	-	A	I	ZNF721	I		THYMUS	15342557
4	477712	-	A	I	ZNF721	I		THYMUS	15342557
4	477747	-	A	I	ZNF721	I		THYMUS	15342557
4	477749	-	A	I	ZNF721	I		THYMUS	15342557
4	477769	-	A	I	ZNF721	I		THYMUS	15342557
4	477770	-	A	I	ZNF721	I		THYMUS	15342557
4	477774	-	A	I	ZNF721	I		THYMUS	15342557
4	477776	-	A	I	ZNF721	I		THYMUS	15342557
4	477777	-	A	I	ZNF721	I		THYMUS	15342557
4	477802	-	A	I	ZNF721	I		THYMUS	15342557
4	491473	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557
4	491488	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557
4	491512	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491575	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491592	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491643	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491894	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491908	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491911	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491912	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491931	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491942	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557,15258596
4	491980	-	A	I	ZNF721	I		WHOLE EMBRYO, MAINLY HEAD	15342557
4	774098	-	A	I	LOC100129917	E	3	LUNG	15342557
4	774106	-	A	I	LOC100129917	E	3	LUNG	15342557
4	774138	-	A	I	LOC100129917	E	3	LUNG,LYMPHOBLASTOID CELL LINE	15342557,15258596,22327324
4	774147	-	A	I	LOC100129917	E	3		15258596
4	774152	-	A	I	LOC100129917	E	3	LUNG	15342557,15258596
4	774153	-	A	I	LOC100129917	E	3	LUNG	15342557,15258596
4	774215	-	A	I	LOC100129917	E	3	BREAST CANCER	15258596,21960545
4	774253	-	A	I	LOC100129917	E	3	LYMPHOBLASTOID CELL LINE	15258596,22327324
4	774321	-	A	I	LOC100129917	E	3		15258596
4	804663	-	A	I	CPLX1	I		BRAIN	15342557
4	804664	-	A	I	CPLX1	I		BRAIN	15342557
4	804757	-	A	I	CPLX1	I		BRAIN	15342557
4	804758	-	A	I	CPLX1	I		BRAIN	15342557
