19	NM_001291929	chr11	-	89057521	89223909	89059923	89223852	17	89057521,89069012,89070614,89073230,89075241,89088129,89106599,89133184,89133382,89135493,89155069,89165951,89173855,89177302,89182607,89184952,89223774,	89060044,89069113,89070683,89073339,89075361,89088211,89106660,89133247,89133547,89135710,89155150,89166024,89173883,89177400,89182692,89185063,89223909,	0	NOX4	cmpl	cmpl	2,0,0,2,2,1,0,0,0,2,2,1,0,1,0,0,0,
19	NM_016931	chr11	-	89057521	89224733	89059923	89224414	18	89057521,89069012,89070614,89073230,89075241,89088129,89106599,89133184,89133382,89135493,89155069,89165951,89173855,89177302,89182607,89184952,89223625,89224357,	89060044,89069113,89070683,89073339,89075361,89088211,89106660,89133247,89133547,89135710,89155150,89166024,89173883,89177400,89182692,89185063,89223721,89224733,	0	NOX4	cmpl	cmpl	2,0,0,2,2,1,0,0,0,2,2,1,0,1,0,0,0,0,
985	NM_016039	chr14	+	52456227	52471420	52456357	52471234	8	52456227,52458034,52460440,52465211,52466425,52468515,52470911,52471079,	52456418,52458159,52460540,52465298,52466514,52468584,52470960,52471420,	0	C14orf166	cmpl	cmpl	0,1,0,1,1,0,0,1,
858	NM_006739	chr22	+	35796115	35820495	35796431	35820248	17	35796115,35796423,35799199,35799406,35802545,35804400,35806736,35808502,35809867,35811821,35812331,35812630,35813736,35815876,35817310,35819206,35820146,	35796201,35796598,35799326,35799535,35802718,35804556,35806903,35808674,35809979,35811965,35812397,35812807,35813849,35816005,35817453,35819334,35820495,	0	MCM5	cmpl	cmpl	-1,0,2,0,0,2,2,1,2,0,0,0,0,2,2,1,0,
1761	NM_032385	chr5	-	154198051	154230213	154199875	154217738	9	154198051,154200819,154202031,154202946,154210360,154214184,154214402,154217690,154230042,	154200032,154200986,154202137,154203152,154210482,154214288,154214494,154217738,154230213,	0	FAXDC2	cmpl	cmpl	2,0,2,0,1,2,0,0,-1,
587	NM_021034	chr11	-	319672	320914	319837	320813	2	319672,320564,	319990,320914,	0	IFITM3	cmpl	cmpl	0,0,
1162	NM_020932	chrX	+	75648045	75651746	75648323	75651197	1	75648045,	75651746,	0	MAGEE1	cmpl	cmpl	0,
13	NM_020929	chr11	-	40135750	41481186	40135919	40137842	5	40135750,40162350,40341177,40669691,41480980,	40137884,40162403,40341271,40669828,41481186,	0	LRRC4C	cmpl	cmpl	0,-1,-1,-1,-1,
1352	NM_021029	chrX	+	100645877	100651142	100645923	100650736	5	100645877,100646446,100646742,100650322,100650715,	100646034,100646552,100646810,100650445,100651142,	0	RPL36A	cmpl	cmpl	0,0,1,0,0,
1688	NM_032378	chr8	-	144661866	144679845	144661961	144672251	10	144661866,144662181,144662675,144663223,144663398,144668388,144668898,144671160,144672777,144679517,	144662000,144662376,144662897,144663324,144663498,144668460,144669022,144672251,144672908,144679845,	0	EEF1D	cmpl	cmpl	0,0,0,1,0,0,2,0,-1,-1,
106	NR_002833	chr7	-	35120898	35225774	35225774	35225774	22	35120898,35129931,35131458,35142528,35144255,35145655,35157359,35159260,35161118,35163609,35171921,35180644,35181493,35184602,35187402,35189699,35201612,35204451,35218629,35221026,35223112,35225331,	35121352,35130057,35131558,35142703,35144375,35145680,35157406,35159332,35161220,35163690,35171981,35180731,35181571,35184702,35187494,35189886,35201706,35204571,35218767,35221114,35223137,35225774,	0	DPY19L2P1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
99	NR_002832	chr11	+	27528398	27699350	27699350	27699350	8	27528398,27561566,27605815,27661391,27679787,27680717,27696843,27698528,	27528445,27561663,27605884,27661552,27680009,27680775,27697687,27699350,	0	BDNF-AS	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
95	NR_002824	chr15	-	23282264	23378259	23378259	23378259	35	23282264,23285704,23293372,23295540,23295763,23299022,23299680,23299914,23303804,23306733,23308563,23310008,23311306,23311641,23312160,23313125,23316003,23316891,23318523,23325023,23326006,23326275,23326495,23327195,23329957,23330245,23330480,23330886,23333848,23334999,23335487,23338852,23356105,23377423,23378140,	23283153,23285752,23293512,23295666,23295937,23299121,23299817,23300167,23303947,23306791,23308707,23310147,23311537,23311838,23312308,23313307,23316186,23317084,23318711,23325215,23326158,23326418,23326666,23327329,23330153,23330373,23330613,23331101,23333999,23335103,23335658,23339028,23356220,23377526,23378259,	0	HERC2P2	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
954	NM_003167	chr19	-	48373722	48389654	48374711	48389514	6	48373722,48377913,48382292,48385340,48386833,48389378,	48374824,48378091,48382387,48385467,48387042,48389654,	0	SULT2A1	cmpl	cmpl	1,0,1,0,1,0,
98	NM_002953	chr1	+	26856248	26901520	26856411	26900692	22	26856248,26863415,26873357,26873679,26877887,26878134,26879881,26880704,26881086,26881641,26882027,26883144,26883488,26885297,26887216,26887535,26887995,26897939,26898339,26898666,26899714,26900569,	26856474,26863460,26873474,26873761,26877968,26878214,26879988,26880742,26881229,26881712,26882116,26883209,26883591,26885428,26887342,26887625,26888154,26898101,26898416,26898784,26899852,26901520,	0	RPS6KA1	cmpl	cmpl	0,0,0,0,1,1,0,2,1,0,2,1,0,1,0,0,0,0,0,2,0,0,
81	NM_001234	chr3	+	8775485	8788451	8775562	8787553	3	8775485,8787211,8787655,	8775676,8787559,8788451,	0	CAV3	cmpl	cmpl	0,0,-1,
1471	NM_001233	chr7	+	116139654	116148595	116139835	116146175	3	116139654,116140313,116146024,	116139985,116140501,116148595,	0	CAV2	cmpl	cmpl	0,0,2,
600	NM_002952	chr16	-	2012061	2014827	2012098	2014626	7	2012061,2012497,2012736,2013149,2014276,2014449,2014807,	2012271,2012657,2012910,2013257,2014366,2014629,2014827,	0	RPS2	cmpl	cmpl	1,0,0,0,0,0,-1,
1588	NM_001170701	chrX	-	131503342	131547603	131513693	131547537	8	131503342,131516205,131518690,131520688,131524874,131526170,131540255,131547510,	131513705,131516300,131518726,131520839,131525111,131526362,131540420,131547603,	0	MBNL3	cmpl	cmpl	0,1,1,0,0,0,0,0,
956	NM_001407	chr3	-	48673895	48700348	48675637	48700067	35	48673895,48677106,48678756,48679283,48679790,48680168,48680399,48680986,48681648,48682148,48682467,48682875,48683174,48683522,48684195,48685273,48685698,48686151,48686553,48687912,48688324,48688791,48689009,48689309,48689869,48690434,48691051,48691310,48691721,48692476,48692738,48693168,48693572,48694130,48696319,	48675665,48677992,48678957,48679442,48679900,48680317,48680516,48681110,48681728,48682261,48682642,48683082,48683301,48683690,48684361,48685429,48685894,48686361,48686648,48688014,48688508,48688912,48689151,48689481,48689986,48690620,48691221,48691436,48691885,48692634,48692827,48693284,48693798,48694781,48700348,	0	CELSR3	cmpl	cmpl	2,1,1,1,2,0,0,2,0,1,0,0,2,2,1,1,0,0,1,1,0,2,1,0,0,0,1,1,2,0,1,2,1,1,0,
789	NM_003593	chr17	+	26850958	26865175	26850987	26864454	8	26850958,26851520,26854268,26856111,26857766,26861348,26861724,26864134,	26851110,26851985,26854379,26856242,26857863,26861556,26862216,26865175,	0	FOXN1	cmpl	cmpl	0,0,0,0,2,0,1,1,
