CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
SAMD11	SAMD11	SAMD11	SAMD11	SAMD11	2.274410941	98.9036805
NOC2L	NOC2L	NOC2L	NOC2L	NOC2L	0.231569638	65.47195952
PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	PLEKHN1	1.879999506	97.96397807
ISG15	ISG15	ISG15	ISG15	ISG15	0.410434686	74.54370219
TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	1.24272779	94.1569785
TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	TNFRSF4	0.691137693	84.63947955
SDF4	SDF4	SDF4	SDF4	SDF4	0.500554195	78.2482983
UBE2J2	UBE2J2	UBE2J2	UBE2J2	UBE2J2	-0.406034518	25.93819649
ACAP3	ACAP3	ACAP3	ACAP3	ACAP3	-0.749376982	14.05337028
PUSL1	PUSL1	PUSL1	PUSL1	PUSL1	0.351699689	71.79085597
CPSF3L	CPSF3L	CPSF3L	CPSF3L	CPSF3L	-1.203961754	6.517679658
DVL1	DVL1	DVL1	DVL1	DVL1	-0.531325214	20.4927414
MXRA8	MXRA8	MXRA8	MXRA8	MXRA8	-0.202191696	36.75682188
AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	AURKAIP1	0.369040313	72.61008373
MRPL20	MRPL20	MRPL20	MRPL20	MRPL20	-0.203595404	36.63032347
VWA1	VWA1	VWA1	VWA1	VWA1	0.317801809	70.13432926
ATAD3B	ATAD3B	ATAD3B	ATAD3B	ATAD3B	2.490540243	99.11451117
ATAD3A	ATAD3A	ATAD3A	ATAD3A	ATAD3A	1.057439959	91.83784109
SSU72	SSU72	SSU72	SSU72	SSU72	-0.202032699	36.79898801
SLC35E2	SLC35E2	SLC35E2	SLC35E2	SLC35E2	0.47527016	77.18209746
GNB1	GNB1	GNB1	GNB1	GNB1	-0.401504674	26.1731221
TMEM52	TMEM52	TMEM52	TMEM52	TMEM52	0.225335233	65.07439311
GABRD	GABRD	GABRD	GABRD	GABRD	-0.52053282	20.87223661
PRKCZ	PRKCZ	PRKCZ	PRKCZ	PRKCZ	-1.057112445	8.246491175
C1orf86	C1orf86	C1orf86	C1orf86	C1orf86	0.381850187	73.19438588
SKI	SKI	SKI	SKI	SKI	-1.173026365	6.758628998
MORN1	MORN1	MORN1	MORN1	MORN1	1.539860388	96.4399735
